Time,Substrate
0,4.92308
0.01,4.84643
0.02,4.77007
0.03,4.69399
0.04,4.61821
0.05,4.54272
0.06,4.46755
0.07,4.39268
0.08,4.31814
0.09,4.24392
0.1,4.17003
0.11,4.09649
0.12,4.02329
0.13,3.95045
0.14,3.87797
0.15,3.80586
0.16,3.73413
0.17,3.66279
0.18,3.59184
0.19,3.5213
0.2,3.45118
0.21,3.38147
0.22,3.3122
0.23,3.24337
0.24,3.17499
0.25,3.10708
0.26,3.03964
0.27,2.97268
0.28,2.90622
0.29,2.84026
0.3,2.77482
0.31,2.70991
0.32,2.64554
0.33,2.58172
0.34,2.51847
0.35,2.4558
0.36,2.39372
0.37,2.33224
0.38,2.27138
0.39,2.21116
0.4,2.15158
0.41,2.09265
0.42,2.03441
0.43,1.97685
0.44,1.91999
0.45,1.86385
0.46,1.80844
0.47,1.75378
0.48,1.69988
0.49,1.64676
0.5,1.59442
0.51,1.5429
0.52,1.49219
0.53,1.44232
0.54,1.3933
0.55,1.34515
0.56,1.29787
0.57,1.25148
0.58,1.206
0.59,1.16143
0.6,1.11779
0.61,1.07509
0.62,1.03334
0.63,0.992551
0.64,0.95273
0.65,0.913887
0.66,0.876027
0.67,0.839158
0.68,0.803283
0.69,0.768408
0.7,0.734533
0.71,0.701661
0.72,0.669792
0.73,0.638923
0.74,0.609052
0.75,0.580174
0.76,0.552283
0.77,0.525372
0.78,0.499433
0.79,0.474454
0.8,0.450424
0.81,0.427331
0.82,0.405159
0.83,0.383892
0.84,0.363515
0.85,0.344008
0.86,0.325352
0.87,0.307528
0.88,0.290514
0.89,0.274289
0.9,0.25883
0.91,0.244114
0.92,0.230118
0.93,0.216817
0.94,0.204188
0.95,0.192206
0.96,0.180848
0.97,0.170089
0.98,0.159904
0.99,0.150271
1,0.141165
1.01,0.132564
1.02,0.124444
1.03,0.116783
1.04,0.10956
1.05,0.102753
1.06,0.0963419
1.07,0.0903068
1.08,0.0846282
1.09,0.0792876
1.1,0.0742672
1.11,0.0695496
1.12,0.0651184
1.13,0.0609578
1.14,0.0570526
1.15,0.0533885
1.16,0.0499516
1.17,0.0467288
1.18,0.0437077
1.19,0.0408763
1.2,0.0382235
1.21,0.0357386
1.22,0.0334115
1.23,0.0312326
1.24,0.0291929
1.25,0.0272839
1.26,0.0254974
1.27,0.023826
1.28,0.0222624
1.29,0.0208
1.3,0.0194323
1.31,0.0181534
1.32,0.0169576
1.33,0.0158397
1.34,0.0147948
1.35,0.0138181
1.36,0.0129053
1.37,0.0120523
1.38,0.0112552
1.39,0.0105105
1.4,0.00981463
1.41,0.00916458
1.42,0.00855731
1.43,0.00799006
1.44,0.00746021
1.45,0.00696533
1.46,0.00650312
1.47,0.00607145
1.48,0.00566832
1.49,0.00529185
1.5,0.0049403
1.51,0.00461203
1.52,0.0043055
1.53,0.00401929
1.54,0.00375206
1.55,0.00350254
1.56,0.00326958
1.57,0.00305209
1.58,0.00284903
1.59,0.00265945
1.6,0.00248247
1.61,0.00231724
1.62,0.002163
1.63,0.00201901
1.64,0.00188459
1.65,0.00175911
1.66,0.00164197
1.67,0.00153262
1.68,0.00143055
1.69,0.00133527
1.7,0.00124634
1.71,0.00116332
1.72,0.00108582
1.73,0.00101349
1.74,0.000945965
1.75,0.000882941
1.76,0.000824113
1.77,0.000769202
1.78,0.000717948
1.79,0.000670108
1.8,0.000625454
1.81,0.000583774
1.82,0.000544871
1.83,0.00050856
1.84,0.000474667
1.85,0.000443033
1.86,0.000413506
1.87,0.000385946
1.88,0.000360223
1.89,0.000336214
1.9,0.000313805
1.91,0.000292889
1.92,0.000273367
1.93,0.000255146
1.94,0.000238139
1.95,0.000222265
1.96,0.00020745
1.97,0.000193622
1.98,0.000180715
1.99,0.000168669
2,0.000157426
2.01,0.000146932
2.02,0.000137137
2.03,0.000127996
2.04,0.000119463
2.05,0.0001115
2.06,0.000104067
2.07,9.71E-05
2.08,9.07E-05
2.09,8.46E-05
2.1,7.90E-05
2.11,7.37E-05
2.12,6.88E-05
2.13,6.42E-05
2.14,5.99E-05
2.15,5.59E-05
2.16,5.22E-05
2.17,4.87E-05
2.18,4.55E-05
2.19,4.24E-05
2.2,3.96E-05
2.21,3.70E-05
2.22,3.45E-05
2.23,3.22E-05
2.24,3.01E-05
2.25,2.81E-05
2.26,2.62E-05
2.27,2.44E-05
2.28,2.28E-05
2.29,2.13E-05
2.3,1.99E-05
2.31,1.85E-05
2.32,1.73E-05
2.33,1.62E-05
2.34,1.51E-05
2.35,1.41E-05
2.36,1.31E-05
2.37,1.23E-05
2.38,1.14E-05
2.39,1.07E-05
2.4,9.97E-06
2.41,9.30E-06
2.42,8.68E-06
2.43,8.10E-06
2.44,7.56E-06
2.45,7.06E-06
2.46,6.59E-06
2.47,6.15E-06
2.48,5.74E-06
2.49,5.36E-06
2.5,5.00E-06
2.51,4.67E-06
2.52,4.36E-06
2.53,4.07E-06
2.54,3.79E-06
2.55,3.54E-06
2.56,3.31E-06
2.57,3.08E-06
2.58,2.88E-06
2.59,2.69E-06
2.6,2.51E-06
2.61,2.34E-06
2.62,2.18E-06
2.63,2.04E-06
2.64,1.90E-06
2.65,1.78E-06
2.66,1.66E-06
2.67,1.55E-06
2.68,1.44E-06
2.69,1.35E-06
2.7,1.26E-06
2.71,1.17E-06
2.72,1.10E-06
2.73,1.02E-06
2.74,9.55E-07
