InvS_Normal,InvV_Normal,InvS_Competitive,InvV_Competitive,InvS_Noncompetitive,InvV_Noncompetitive
0.2,0.11,0.2,0.13,0.2,0.33
0.203704,0.110185,0.203125,0.130469,0.20122,0.330183
0.207541,0.110377,0.206337,0.130951,0.202453,0.330368
0.211518,0.110576,0.209641,0.131446,0.203702,0.330555
0.215643,0.110782,0.213038,0.131956,0.204965,0.330745
0.219924,0.110996,0.216534,0.13248,0.206243,0.330936
0.224369,0.111218,0.220132,0.13302,0.207536,0.33113
0.228989,0.111449,0.223837,0.133575,0.208845,0.331327
0.233792,0.11169,0.227651,0.134148,0.21017,0.331525
0.238791,0.11194,0.231581,0.134737,0.211511,0.331727
0.243996,0.1122,0.235631,0.135345,0.212868,0.33193
0.24942,0.112471,0.239806,0.135971,0.214242,0.332136
0.255076,0.112754,0.244112,0.136617,0.215633,0.332345
0.26098,0.113049,0.248553,0.137283,0.217041,0.332556
0.267148,0.113357,0.253136,0.13797,0.218467,0.33277
0.273595,0.11368,0.257867,0.13868,0.219911,0.332987
0.280343,0.114017,0.262753,0.139413,0.221373,0.333206
0.287409,0.11437,0.2678,0.14017,0.222853,0.333428
0.294818,0.114741,0.273016,0.140952,0.224353,0.333653
0.302593,0.11513,0.278409,0.141761,0.225871,0.333881
0.310761,0.115538,0.283986,0.142598,0.22741,0.334111
0.31935,0.115968,0.289756,0.143463,0.228968,0.334345
0.328393,0.11642,0.295729,0.144359,0.230547,0.334582
0.337925,0.116896,0.301914,0.145287,0.232147,0.334822
0.347985,0.117399,0.308321,0.146248,0.233768,0.335065
0.358615,0.117931,0.314961,0.147244,0.23541,0.335312
0.369862,0.118493,0.321846,0.148277,0.237074,0.335561
0.381779,0.119089,0.328987,0.149348,0.238761,0.335814
0.394423,0.119721,0.336397,0.15046,0.240471,0.336071
0.40786,0.120393,0.34409,0.151613,0.242204,0.336331
0.422162,0.121108,0.352081,0.152812,0.243961,0.336594
0.437409,0.12187,0.360384,0.154058,0.245742,0.336861
0.453693,0.122685,0.369016,0.155352,0.247548,0.337132
0.471115,0.123556,0.377995,0.156699,0.249379,0.337407
0.48979,0.12449,0.387338,0.158101,0.251236,0.337685
0.50985,0.125492,0.397066,0.15956,0.253119,0.337968
0.531441,0.126572,0.407199,0.16108,0.255029,0.338254
0.554733,0.127737,0.41776,0.162664,0.256967,0.338545
0.579918,0.128996,0.428772,0.164316,0.258932,0.33884
0.607216,0.130361,0.44026,0.166039,0.260926,0.339139
0.636881,0.131844,0.452252,0.167838,0.262949,0.339442
0.669208,0.13346,0.464776,0.169716,0.265002,0.33975
0.704535,0.135227,0.477862,0.171679,0.267085,0.340063
0.743259,0.137163,0.491544,0.173732,0.269199,0.34038
0.785843,0.139292,0.505856,0.175878,0.271345,0.340702
0.832828,0.141641,0.520837,0.178125,0.273524,0.341029
0.884856,0.144243,0.536525,0.180479,0.275735,0.34136
0.942685,0.147134,0.552963,0.182944,0.277981,0.341697
1.00722,0.150361,0.570198,0.18553,0.280261,0.342039
1.07953,0.153977,0.588277,0.188242,0.282576,0.342386
1.16092,0.158046,0.607255,0.191088,0.284928,0.342739
1.25296,0.162648,0.627186,0.194078,0.287316,0.343097
1.35754,0.167877,0.648131,0.19722,0.289743,0.343461
1.47697,0.173849,0.670155,0.200523,0.292208,0.343831
1.6141,0.180705,0.693326,0.203999,0.294712,0.344207
1.77242,0.188621,0.717719,0.207658,0.297257,0.344589
1.95624,0.197812,0.743413,0.211512,0.299844,0.344977
2.17094,0.208547,0.770494,0.215574,0.302473,0.345371
2.42319,0.221159,0.799053,0.219858,0.305145,0.345772
2.72136,0.236068,0.82919,0.224378,0.307862,0.346179
3.07595,0.253797,0.861008,0.229151,0.310625,0.346594
3.50016,0.275008,0.894622,0.234193,0.313434,0.347015
4.01061,0.30053,0.930155,0.239523,0.316291,0.347444
4.62825,0.331413,0.967735,0.24516,0.319196,0.347879
5.37951,0.368976,1.0075,0.251126,0.322152,0.348323
6.29769,0.414885,1.04962,0.257442,0.32516,0.348774
7.42472,0.471236,1.09423,0.264134,0.32822,0.349233
8.81333,0.540667,1.14152,0.271228,0.331334,0.3497
10.5298,0.626489,1.19167,0.278751,0.334503,0.350175
12.6571,0.732857,1.24489,0.286734,0.337729,0.350659
15.2995,0.864975,1.30139,0.295209,0.341013,0.351152
18.5872,1.02936,1.36141,0.304211,0.344358,0.351654
22.6831,1.23415,1.42519,0.313778,0.347763,0.352164
27.7909,1.48954,1.493,0.32395,0.351231,0.352685
34.1652,1.80826,1.56513,0.33477,0.354765,0.353215
42.1241,2.2062,1.6419,0.346285,0.358364,0.353755
52.0651,2.70326,1.72362,0.358543,0.362031,0.354305
64.485,3.32425,1.81067,0.3716,0.365769,0.354865
80.0046,4.10023,1.90341,0.385512,0.369578,0.355437
99.3997,5.06998,2.00227,0.400341,0.373461,0.356019
123.64,6.282,2.10769,0.416153,0.37742,0.356613
153.937,7.79687,2.22013,0.433019,0.381458,0.357219
191.807,9.69033,2.34011,0.451016,0.385575,0.357836
239.141,12.0571,2.46817,0.470225,0.389775,0.358466
298.308,15.0154,2.6049,0.490735,0.39406,0.359109
372.265,18.7133,2.75092,0.512638,0.398432,0.359765
464.711,23.3355,2.90691,0.536037,0.402894,0.360434
580.267,29.1133,3.07359,0.561039,0.407448,0.361117
724.711,36.3356,3.25173,0.58776,0.412098,0.361815
905.266,45.3633,3.44217,0.616325,0.416846,0.362527
1130.96,56.648,3.64579,0.646868,0.421694,0.363254
1413.08,70.7538,3.86354,0.679531,0.426647,0.363997
1765.72,88.3861,4.09645,0.714467,0.431707,0.364756
2206.53,110.426,4.3456,0.751841,0.436878,0.365532
2757.53,137.977,4.61219,0.791828,0.442163,0.366324
3446.29,172.415,4.89745,0.834617,0.447565,0.367135
4307.24,215.462,5.20274,0.880411,0.453088,0.367963
5383.43,269.271,5.5295,0.929425,0.458737,0.368811
6728.66,336.533,5.87928,0.981893,0.464515,0.369677
8410.2,420.61,6.25374,1.03806,0.470426,0.370564
10000,500.1,6.65464,1.0982,0.476475,0.371471
10000,500.1,7.0839,1.16259,0.482666,0.3724
10000,500.1,7.54355,1.23153,0.489004,0.373351
10000,500.1,8.03577,1.30536,0.495494,0.374324
10000,500.1,8.56289,1.38443,0.50214,0.375321
10000,500.1,9.12744,1.46912,0.50895,0.376342
10000,500.1,9.73208,1.55981,0.515927,0.377389
10000,500.1,10.3797,1.65695,0.523078,0.378462
10000,500.1,11.0734,1.761,0.530409,0.379561
10000,500.1,11.8164,1.87246,0.537926,0.380689
10000,500.1,12.6123,1.99185,0.545636,0.381845
10000,500.1,13.4649,2.11974,0.553546,0.383032
10000,500.1,14.3782,2.25673,0.561663,0.384249
10000,500.1,15.3566,2.4035,0.569994,0.385499
10000,500.1,16.4048,2.56072,0.578549,0.386782
10000,500.1,17.5277,2.72915,0.587334,0.3881
10000,500.1,18.7306,2.90959,0.596359,0.389454
10000,500.1,20.0194,3.10291,0.605633,0.390845
10000,500.1,21.4001,3.31001,0.615165,0.392275
10000,500.1,22.8793,3.53189,0.624966,0.393745
10000,500.1,24.464,3.76961,0.635045,0.395257
10000,500.1,26.1619,4.02428,0.645415,0.396812
10000,500.1,27.9809,4.29714,0.656086,0.398413
10000,500.1,29.9298,4.58947,0.667071,0.400061
10000,500.1,32.0178,4.90268,0.678383,0.401757
10000,500.1,34.2549,5.23824,0.690034,0.403505
10000,500.1,36.6517,5.59776,0.70204,0.405306
10000,500.1,39.2197,5.98295,0.714414,0.407162
10000,500.1,41.9709,6.39564,0.727174,0.409076
10000,500.1,44.9187,6.83781,0.740334,0.41105
10000,500.1,48.077,7.31154,0.753912,0.413087
10000,500.1,51.4608,7.81911,0.767928,0.415189
10000,500.1,55.0862,8.36293,0.782399,0.41736
10000,500.1,58.9706,8.94559,0.797346,0.419602
10000,500.1,63.1323,9.56985,0.812791,0.421919
10000,500.1,67.5913,10.2387,0.828756,0.424313
10000,500.1,72.3688,10.9553,0.845266,0.42679
10000,500.1,77.4875,11.7231,0.862345,0.429352
10000,500.1,82.9718,12.5458,0.88002,0.432003
10000,500.1,88.8477,13.4272,0.898319,0.434748
10000,500.1,95.1434,14.3715,0.917273,0.437591
10000,500.1,101.889,15.3833,0.936912,0.440537
10000,500.1,109.116,16.4674,0.957271,0.443591
10000,500.1,116.859,17.6289,0.978385,0.446758
10000,500.1,125.155,18.8733,1.00029,0.450044
10000,500.1,134.044,20.2067,1.02303,0.453454
10000,500.1,143.568,21.6352,1.04664,0.456996
10000,500.1,153.772,23.1659,1.07117,0.460676
10000,500.1,164.705,24.8058,1.09667,0.464501
10000,500.1,176.419,26.5629,1.12319,0.468479
10000,500.1,188.97,28.4455,1.15078,0.472618
10000,500.1,202.417,30.4625,1.1795,0.476926
10000,500.1,216.824,32.6236,1.20941,0.481412
10000,500.1,232.261,34.9391,1.24058,0.486087
10000,500.1,248.8,37.42,1.27307,0.490961
10000,500.1,266.521,40.0781,1.30696,0.496044
10000,500.1,285.507,42.926,1.34233,0.501349
10000,500.1,305.849,45.9774,1.37926,0.506889
10000,500.1,327.645,49.2467,1.41784,0.512675
10000,500.1,350.997,52.7496,1.45816,0.518724
10000,500.1,376.017,56.5026,1.50034,0.525051
10000,500.1,402.825,60.5237,1.54447,0.531671
10000,500.1,431.547,64.8321,1.59068,0.538602
10000,500.1,462.321,69.4482,1.63909,0.545863
10000,500.1,495.293,74.394,1.68983,0.553474
10000,500.1,530.62,79.693,1.74305,0.561457
10000,500.1,568.471,85.3706,1.79889,0.569834
10000,500.1,609.025,91.4537,1.85753,0.57863
10000,500.1,652.476,97.9713,1.91914,0.587871
10000,500.1,699.03,104.954,1.98391,0.597586
10000,500.1,748.91,112.436,2.05203,0.607805
10000,500.1,802.352,120.453,2.12373,0.61856
10000,500.1,859.612,129.042,2.19924,0.629886
10000,500.1,920.962,138.244,2.27881,0.641821
10000,500.1,986.694,148.104,2.36269,0.654404
10000,500.1,1057.12,158.668,2.45119,0.667679
10000,500.1,1132.58,169.987,2.54461,0.681692
10000,500.1,1213.43,182.114,2.64328,0.696492
10000,500.1,1300.05,195.107,2.74755,0.712133
10000,500.1,1392.86,209.029,2.85781,0.728672
10000,500.1,1492.3,223.945,2.97447,0.74617
10000,500.1,1598.84,239.926,3.09796,0.764695
10000,500.1,1712.99,257.049,3.22877,0.784315
10000,500.1,1835.3,275.394,3.36739,0.805109
10000,500.1,1966.34,295.051,3.51438,0.827158
10000,500.1,2106.74,316.111,3.67033,0.850549
10000,500.1,2257.17,338.675,3.83585,0.875378
10000,500.1,2418.35,362.852,4.01164,0.901746
10000,500.1,2591.03,388.755,4.19842,0.929763
10000,500.1,2776.06,416.508,4.39697,0.959545
10000,500.1,2974.29,446.244,4.60813,0.991219
10000,500.1,3186.69,478.104,4.8328,1.02492
10000,500.1,3414.26,512.24,5.07196,1.06079
10000,500.1,3658.09,548.813,5.32664,1.099
10000,500.1,3919.33,587.999,5.59796,1.13969
10000,500.1,4199.23,629.985,5.88713,1.18307
10000,500.1,4499.12,674.969,6.19542,1.22931
10000,500.1,4820.44,723.166,6.52423,1.27863
10000,500.1,5164.71,774.806,6.87502,1.33125
10000,500.1,5533.56,830.134,7.24941,1.38741
10000,500.1,5928.77,889.415,7.64908,1.44736
10000,500.1,6352.2,952.93,8.07588,1.51138
10000,500.1,6805.88,1020.98,8.53176,1.57976
10000,500.1,7291.96,1093.89,9.01884,1.65283
10000,500.1,7812.76,1172.01,9.53937,1.7309
10000,500.1,8370.76,1255.71,10.0958,1.81436
10000,500.1,8968.63,1345.39,10.6906,1.90359
10000,500.1,9609.19,1441.48,11.3267,1.99901
10000,500.1,10000,1500.1,12.0071,2.10106
10000,500.1,10000,1500.1,12.7348,2.21023
10000,500.1,10000,1500.1,13.5135,2.32702
10000,500.1,10000,1500.1,14.3466,2.45199
10000,500.1,10000,1500.1,15.2382,2.58573
10000,500.1,10000,1500.1,16.1924,2.72887
10000,500.1,10000,1500.1,17.2139,2.88208
10000,500.1,10000,1500.1,18.3073,3.0461
10000,500.1,10000,1500.1,19.478,3.22169
10000,500.1,10000,1500.1,20.7313,3.4097
10000,500.1,10000,1500.1,22.0734,3.61102
10000,500.1,10000,1500.1,23.5106,3.82659
10000,500.1,10000,1500.1,25.0496,4.05745
10000,500.1,10000,1500.1,26.6979,4.30469
10000,500.1,10000,1500.1,28.4632,4.56948
10000,500.1,10000,1500.1,30.354,4.85309
10000,500.1,10000,1500.1,32.3791,5.15687
10000,500.1,10000,1500.1,34.5484,5.48225
10000,500.1,10000,1500.1,36.872,5.8308
10000,500.1,10000,1500.1,39.361,6.20416
10000,500.1,10000,1500.1,42.0274,6.60411
10000,500.1,10000,1500.1,44.8837,7.03255
10000,500.1,10000,1500.1,47.9436,7.49154
10000,500.1,10000,1500.1,51.2216,7.98324
10000,500.1,10000,1500.1,54.7334,8.51001
10000,500.1,10000,1500.1,58.4956,9.07434
10000,500.1,10000,1500.1,62.5262,9.67893
10000,500.1,10000,1500.1,66.8444,10.3267
10000,500.1,10000,1500.1,71.4707,11.0206
10000,500.1,10000,1500.1,76.4271,11.7641
10000,500.1,10000,1500.1,81.7373,12.5606
10000,500.1,10000,1500.1,87.4266,13.414
10000,500.1,10000,1500.1,93.5219,14.3283
10000,500.1,10000,1500.1,100.052,15.3079
10000,500.1,10000,1500.1,107.049,16.3574
10000,500.1,10000,1500.1,114.545,17.4818
10000,500.1,10000,1500.1,122.577,18.6866
10000,500.1,10000,1500.1,131.182,19.9773
10000,500.1,10000,1500.1,140.402,21.3603
10000,500.1,10000,1500.1,150.28,22.8419
10000,500.1,10000,1500.1,160.863,24.4294
10000,500.1,10000,1500.1,172.202,26.1303
10000,500.1,10000,1500.1,184.351,27.9527
10000,500.1,10000,1500.1,197.368,29.9052
10000,500.1,10000,1500.1,211.314,31.9971
10000,500.1,10000,1500.1,226.256,34.2384
10000,500.1,10000,1500.1,242.266,36.6399
10000,500.1,10000,1500.1,259.419,39.2128
10000,500.1,10000,1500.1,277.797,41.9695
10000,500.1,10000,1500.1,297.488,44.9232
10000,500.1,10000,1500.1,318.585,48.0877
10000,500.1,10000,1500.1,341.189,51.4783
10000,500.1,10000,1500.1,365.407,55.1111
10000,500.1,10000,1500.1,391.356,59.0034
10000,500.1,10000,1500.1,419.158,63.1736
10000,500.1,10000,1500.1,448.945,67.6418
10000,500.1,10000,1500.1,480.86,72.429
10000,500.1,10000,1500.1,515.055,77.5583
10000,500.1,10000,1500.1,551.692,83.0538
10000,500.1,10000,1500.1,590.946,88.942
10000,500.1,10000,1500.1,633.004,95.2507
10000,500.1,10000,1500.1,678.066,102.01
10000,500.1,10000,1500.1,726.347,109.252
10000,500.1,10000,1500.1,778.076,117.011
10000,500.1,10000,1500.1,833.501,125.325
10000,500.1,10000,1500.1,892.884,134.233
10000,500.1,10000,1500.1,956.509,143.776
10000,500.1,10000,1500.1,1024.68,154.002
10000,500.1,10000,1500.1,1097.72,164.957
10000,500.1,10000,1500.1,1175.97,176.696
10000,500.1,10000,1500.1,1259.82,189.273
10000,500.1,10000,1500.1,1349.65,202.748
10000,500.1,10000,1500.1,1445.9,217.185
10000,500.1,10000,1500.1,1549.03,232.654
10000,500.1,10000,1500.1,1659.52,249.228
10000,500.1,10000,1500.1,1777.9,266.986
10000,500.1,10000,1500.1,1904.74,286.012
10000,500.1,10000,1500.1,2040.64,306.397
10000,500.1,10000,1500.1,2186.25,328.238
10000,500.1,10000,1500.1,2342.26,351.639
10000,500.1,10000,1500.1,2509.41,376.712
10000,500.1,10000,1500.1,2688.5,403.575
10000,500.1,10000,1500.1,2880.39,432.358
10000,500.1,10000,1500.1,3085.97,463.196
10000,500.1,10000,1500.1,3306.25,496.237
10000,500.1,10000,1500.1,3542.26,531.638
10000,500.1,10000,1500.1,3795.12,569.568
10000,500.1,10000,1500.1,4066.05,610.207
10000,500.1,10000,1500.1,4356.33,653.749
10000,500.1,10000,1500.1,4667.34,700.401
10000,500.1,10000,1500.1,5000.57,750.385
10000,500.1,10000,1500.1,5357.6,803.94
